comment,db_key,is_disabled,parent_rule_ref,rank,tag,access_rule.match_part.match_sources.match_source_ref.type,access_rule.match_part.match_sources.match_source_ref.value,access_rule.match_part.match_destinations.match_destination_ref.type,access_rule.match_part.match_destinations.match_destination_ref.value,access_rule.match_part.match_services.match_service_ref.type,access_rule.match_part.match_services.match_service_ref.value,access_rule.action.type,access_rule.option.log_policy.closing_mode,access_rule.option.log_policy.log_level,access_rule.option.log_policy.mss_enforce,access_rule.match_part.match_services.match_service_ref.ref_key,access_rule.option.log_policy.log_compression,comment_rule.background_color,access_rule.match_part.user_match.user.class_id,access_rule.match_part.user_match.user.display_name,access_rule.match_part.user_match.user.domain,access_rule.match_part.user_match.user.ref,access_rule.match_part.user_match.auth_service.ref,access_rule.match_part.user_match.auth_service.ref_key,access_rule.vpn_action.meta_mobile_vpn,access_rule.vpn_action.type,access_rule.vpn_action.vpn_ref.ref,name,access_rule.match_part.match_sources.match_source_ref.ref_key,access_rule.option.decrypting,access_rule.option.deep_inspection,access_rule.option.log_policy.application,access_rule.option.conn_tracking,nat_rule.valid_fw_ref,nat_rule.match_part.match_sources.match_source_ref.type,nat_rule.match_part.match_sources.match_source_ref.value,nat_rule.match_part.match_destinations.match_destination_ref.type,nat_rule.match_part.match_destinations.match_destination_ref.value,nat_rule.match_part.match_services.match_service_ref.ref_key,nat_rule.match_part.match_services.match_service_ref.type,nat_rule.match_part.match_services.match_service_ref.value,nat_rule.action.type,nat_rule.option.log_policy.closing_mode,nat_rule.option.log_policy.log_level,nat_rule.option.log_policy.mss_enforce,nat_rule.option.nat_src.dynamic_nat.generate_arp,nat_rule.option.nat_src.dynamic_nat.packet_description.first_port,nat_rule.option.nat_src.dynamic_nat.packet_description.last_port,nat_rule.option.nat_src.dynamic_nat.packet_description.ne_ref
,11652,false,Access rule : insert point,338.0,2099002.6,network_element | network_element,10.54.200.0/24 | AIC Operations,network_element,Cairo_EPM_Stg_Web_Server,service | service,HTTP | HTTPS,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11655,false,Access rule : insert point,339.0,2099006.6,network_element | network_element | network_element | network_element | network_element,10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | AIC SWD | Alexandria_Software_129,network_element,Cairo_EPM_Stg_Web_Server,service | service | service,HTTP | HTTPS | Remote Desktop,allow,true,undefined,false,330 | 332 | 281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11656,false,Access rule : insert point,340.0,2099005.5,network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,network_element,Cairo_EPM_Stg_Web,service | service | service,HTTP | HTTPS | Remote Desktop,allow,true,undefined,false,330 | 332 | 281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11653,false,Access rule : insert point,341.0,2099003.5,network_element,Cairo_EPM_Stg_Web_Server,network_element,Cairo_EPM_Stg_DB_Server,service | service | service | service,1434 | 2383 | 445 | tcp_service_1433,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11654,false,Access rule : insert point,342.0,2099004.5,network_element,Cairo_EPM_Stg_Web_Server,network_element,network-10.53.101.0/24,service | service | service | service | service | service | service,111 | 137 | 138 | 445 | TCP_139 | udp_service_111 | udp_service_2049,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11657,false,Access rule : insert point,343.0,2099009.5,network_element,Cairo_Prometheus,network_element | network_element | network_element | network_element,Cairo_EPM_Prd_DB | Cairo_EPM_Prd_Web | Cairo_EPM_Stg_DB | Cairo_EPM_Stg_Web,service | service,9100 | 9182,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11658,false,Access rule : insert point,344.0,2099007.5,network_element | network_element,AIC-CAI-IT | Alexandria_IT_Admin_125,network_element,Cairo_EPM_Stg_DB,service | service | service,HTTP | HTTPS | Remote Desktop,allow,true,undefined,false,330 | 332 | 281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11659,false,Access rule : insert point,345.0,2099008.5,network_element | network_element,AIC SWD | Alexandria_Software_129,network_element,Cairo_EPM_Stg_DB_Server,service | service | service,HTTP | HTTPS | Remote Desktop,allow,true,undefined,false,330 | 332 | 281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11635,false,Access rule : insert point,346.0,2098984.7,network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM,network_element,network-10.53.107.0/24,service | service | service | service | service,3000-10000 | 30000-32768 | HTTP | HTTPS | tcp_service_22,allow,true,undefined,false,330 | 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11627,false,Access rule : insert point,347.0,2098977.6,network_element,10.53.106.242,network_element | network_element,10.53.222.2 | 10.53.222.22,service,tcp_service_22,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11622,false,Access rule : insert point,348.0,2098973.9,network_element | network_element,host-10.53.102.31 | host-10.53.102.32,network_element | network_element,host-10.53.106.224 | host-10.53.106.225,service | service | service,50000 | 50001 | tcp_service_22,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11623,false,Access rule : insert point,349.0,2098974.6,network_element,network-10.53.125.0/24,network_element,host-10.53.106.225,service,6443,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11620,false,Access rule : insert point,350.0,2098972.7,network_element,host-10.53.135.100,network_element | network_element,host-10.54.135.135 | host-10.54.135.235,service,9153,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11621,false,Access rule : insert point,351.0,2098971.7,network_element | network_element | network_element,10.53.106.100 | 10.53.106.219 | 10.53.106.220,network_element,host-10.53.135.100,service | service,3000 | 9090,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11891,false,Access rule : insert point,351.5,2099274.0,network_element,FAHD.mcit,network_element | network_element,SCCM Server | SCCM_Server2,service,Remote Desktop,allow,true,undefined,false,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11913,false,Access rule : insert point,351.625,2099297.0,network_element | network_element | network_element,10.54.125.0 | 10.58.125.0./24 | network-10.53.125.0/24,network_element | network_element,SCCM Server | SCCM_Server2,service,8080,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11914,false,Access rule : insert point,351.6875,2099298.0,network_element | network_element | network_element,10.54.125.0 | 10.58.125.0./24 | network-10.53.125.0/24,network_element,10.53.104.60-69,service | service | service | service,623 | 623' | 664 | 664',allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11906,false,Access rule : insert point,351.75,2099288.0,network_element | network_element | network_element,10.54.200.0/24 | Alexandria_R&D_Team_126    | Alexandria_Software_129,network_element,SCCM Server,service,Remote Desktop,allow,true,undefined,false,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11613,false,Access rule : insert point,352.0,2098963.8,network_element,host-10.53.135.100,network_element | network_element,10.54.135.0/24 | network-10.53.123.0/24,service | service,9100 | 9182,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11660,false,Access rule : insert point,353.0,2099010.5,network_element,Cairo_R&D_Team_126-,network_element,10.54.135.0/24,service | service,3000-10000 | 30000-32768,allow,true,undefined,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
