type,value,ref_key
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,network-10.53.127.0/24,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,pulse secure2,
network_element,pulsesecure1,
network_element,AIC-Pool,
network_element,AIC-Pool,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,Egypt,357994
network_element,AIC-DEV-RANGE,
network_element,AIC-DEV-RANGE,
network_element,AIC-DEV-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-IT-RANGE,
network_element,AIC-DEV-RANGE,
network_element,AIC-DEV-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-IT-RANGE,
network_element,hpc-nonmcit,
network_element,AIC-IT-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-IT-RANGE,
network_element,AIC-HPC-RANGE,
network_element,10.53.105.252,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,network-10.53.127.0/24,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-HPC-RANGE,
network_element,AIC-DEV-RANGE,
network_element,pool_Ai_VPN,
network_element,AIC-DEV-RANGE,
network_element,AIC-Pool,
network_element,hpc-nonmcit,
network_element,hpc-nonmcit,
network_element,AIC Operations,
network_element,Cairo_HPC_Team_130,
network_element,network-10.53.107.0/24,
network_element,network-10.53.118.0/24,
network_element,AIC_Subnet,
network_element,network-10.53.107.0/24,
network_element,network-10.53.118.0/24,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,host-10.53.106.234,
network_element,host-10.53.106.235,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,host-10.53.106.234,
network_element,host-10.53.106.235,
network_element,10.53.130.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,private-10.0.0.0/8,106
network_element,MCIT-Proxy,
network_element,Proxy-MG,
network_element,VFX-AIC,
network_element,172.26.12.163,
network_element,172.26.12.164,
network_element,PRA IN 1 ,
network_element,ZTNA-AIC-INT,
network_element,10.53.104.60-10.53.104.69,
network_element,10.53.135.243,
network_element,10.53.135.244,
network_element,10.53.135.60-10.53.135.69,
network_element,10.53.105.252,
network_element,NGINX-Reverse-Proxy-VM 1,
network_element,10.53.130.0/24,
network_element,AIC Operations,
network_element,AIC SWD,
network_element,ZTNA-AIC-INT,
network_element,network-10.53.118.0/24,
network_element,10.54.200.0/24,
network_element,AIC Operations,
network_element,AIC RProxy Network,
network_element,network-10.53.117.0/24,
network_element,network-10.53.118.0/24,
network_element,network-10.53.117.0/24,
network_element,network-10.53.118.0/24,
network_element,Docker Registry Server,
network_element,host-10.53.117.253,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,host-10.53.116.251,
network_element,host-10.53.116.252,
network_element,10.58.125.0./24,
network_element,network-10.53.125.0/24,
network_element,Alexandria_Software_129,
network_element,10.58.125.0./24,
network_element,network-10.53.125.0/24,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,AIC SWD,
network_element,Cairo_R&D_Team_126-,
network_element,network-10.53.118.0/24,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,10.58.200.0,
network_element,Alexandria_R&D_Team_126   ,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,AIC SWD,
network_element,Alexandria_Software_129,
network_element,Cairo_R&D_Team_126-,
network_element,network-10.53.118.0/24,
network_element,host-10.53.126.219,
network_element,10.58.125.0./24,
network_element,AIC SWD,
network_element,Cairo_R&D_Team_126-,
network_element,network-10.53.125.0/24,
network_element,AD1,
network_element,AD2,
network_element,dns1,
network_element,dns2,
network_element,Alexandria_IT_Admin_125,
network_element,Alexandria_IT_Admin_125,
network_element,Alexandria_IT_Admin_125,
network_element,Alexandria_R&D_Team_126   ,
network_element,network-10.54.129.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,network-10.54.129.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,10.53.130.0/24,
network_element,Mail_Relay ,
network_element,Mail_Relay ,
network_element,vCenter Virtualization Manager,
network_element,10.53.105.252,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,host-10.53.106.234,
network_element,host-10.53.106.235,
network_element,10.58.126.0/24,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,10.58.200.0,
network_element,AIC SWD,
network_element,Cairo_R&D_Team_126-,
network_element,Cairo_HPC_Team_130,
network_element,host-10.53.135.100,
network_element,AD1,
network_element,AD2,
network_element,dns1,
network_element,dns2,
network_element,10.53.222.2,
network_element,10.53.222.22,
network_element,NGINX Reverse Proxy VM 2,
network_element,NGINX Reverse Proxy VM Zitadel,
network_element,NGINX-Reverse-Proxy-VM 1,
network_element,Alex-BMC,
network_element,Alex-Kubernetes,
network_element,Alex_VM_Internal,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,AIC-Pool,
network_element,host-10.53.106.208,
network_element,AIC SWD,
network_element,Alexandria_R&D_Team_126   ,
network_element,Alexandria_Software_129,
network_element,Cairo_R&D_Team_126-,
network_element,10.54.130.0,
network_element,Cairo_HPC_Team_130,
network_element,host-10.53.106.208,
network_element,AIC SWD,
network_element,Alexandria_Software_129,
network_element,10.54.130.0,
network_element,10.53.120.0/24,
network_element,AI-lab,
network_element,AIC Operations,
network_element,AIC SWD,
network_element,AIC-CAI-IT,
network_element,AIC-Pool,
network_element,Cairo_R&D_Team_126,
network_element,AI-lab,
network_element,AIC Operations,
network_element,AIC SWD,
network_element,AIC-CAI-IT,
network_element,AIC-Pool,
network_element,Cairo_R&D_Team_126,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,10.54.130.0,
network_element,Cairo_HPC_Team_130,
network_element,10.54.200.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,AIC SWD,
network_element,Alexandria_R&D_Team_126   ,
network_element,Alexandria_Software_129,
network_element,Cairo_R&D_Team_126-,
network_element,Cairo_EPM_Prd_DB_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_DB_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,network-10.53.41.0/24,
network_element,host-10.53.125.124,
network_element,10.54.230.10,
network_element,AIC-CAI-IT,
network_element,Alexandria_IT_Admin_125,
network_element,10.54.200.0/24,
network_element,AI_Wireless,
network_element,AIC Operations,
network_element,alex-wireless,
network_element,Alexandria_R&D_Team_126   ,
network_element,Cairo_HPC_Team_130,
network_element,Cairo_R&D_Team_126,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,Cairo_EPM_Prd_DB_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_DB_Server,
network_element,Cairo_EPM_Prd_DB_Server,
network_element,Cairo_EPM_Prd_Web_Server,
network_element,Cairo_EPM_Stg_DB_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,AIC SWD,
network_element,AIC-CAI-IT,
network_element,Alexandria_IT_Admin_125,
network_element,Alexandria_Software_129,
network_element,AIC-CAI-IT,
network_element,Alexandria_IT_Admin_125,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,10.58.200.0,
network_element,AIC SWD,
network_element,Alexandria_Software_129,
network_element,10.54.200.0/24,
network_element,AIC Operations,
network_element,10.58.129.0/24,
network_element,10.58.130.0,
network_element,10.58.200.0,
network_element,AIC SWD,
network_element,Alexandria_Software_129,
network_element,AIC-CAI-IT,
network_element,Alexandria_IT_Admin_125,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,Cairo_EPM_Stg_Web_Server,
network_element,Cairo_Prometheus,
network_element,AIC-CAI-IT,
network_element,Alexandria_IT_Admin_125,
network_element,AIC SWD,
network_element,Alexandria_Software_129,
network_element,10.53.106.242,
network_element,10.53.106.250,
network_element,Explatory VM,
network_element,10.53.106.242,
network_element,host-10.53.102.31,
network_element,host-10.53.102.32,
network_element,network-10.53.125.0/24,
network_element,host-10.53.135.100,
network_element,10.53.106.100,
network_element,10.53.106.219,
network_element,10.53.106.220,
network_element,FAHD.mcit,
network_element,10.54.125.0,
network_element,10.58.125.0./24,
network_element,network-10.53.125.0/24,
network_element,10.54.125.0,
network_element,10.58.125.0./24,
network_element,network-10.53.125.0/24,
network_element,10.54.200.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,Alexandria_Software_129,
network_element,host-10.53.135.100,
network_element,Cairo_R&D_Team_126-,
network_element,host-10.53.135.100,
network_element,network-10.53.145.0/24,
network_element,10.54.125.0,
network_element,10.53.222.0/24,
network_element,10.53.130.0/24,
network_element,AI_Wireless,
network_element,AIC SWD,
network_element,alex-wireless,
network_element,Alexandria_R&D_Team_126   ,
