match_sources.match_source_ref.type,match_sources.match_source_ref.value,match_destinations.match_destination_ref.type,match_destinations.match_destination_ref.value,match_services.match_service_ref.type,match_services.match_service_ref.value,match_services.match_service_ref.ref_key,user_match.user.class_id,user_match.user.display_name,user_match.user.domain,user_match.user.ref,user_match.auth_service.ref,user_match.auth_service.ref_key,match_sources.match_source_ref.ref_key
network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.106.234 | host-10.53.106.235 | R&D Jump Machine | SW Jump Machine,network_element,network-10.53.118.0/24,service | service | service | service | service,3000-10000 | 30000-32768 | HTTP | HTTPS | SSH,330 | 332 | 380,,,,,,,
network_element | network_element | network_element,10.53.106.229 | 10.53.106.230 | 10.53.106.231,network_element,Thebes_K8s_Ingress,service | service,HTTP | HTTPS,330 | 332,,,,,,,
network_element,network-10.53.118.0/24,network_element | network_element,Docker Registry Server | Git_Server,service | service | service,HTTP | HTTPS | SSH,330 | 332 | 380,,,,,,,
network_element | network_element | network_element,10.53.120.0/24 | network-10.53.127.0/24 | network-10.53.128.0/24,network_element | network_element,10.53.222.2 | 10.53.222.22,application | service | service,SSH | ssh | tcp_service_22,790019,,,,,,,
network_element,SCCM Server,network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.54.125.0 | 10.54.135.0/24 | 10.54.200.0/24 | AIC Operations | AIC SWD | AIC-CAI-IT | Alexandria_R&D_Team_126    | Alexandria_Software_129 | Cairo_EPM_Prd_DB | Cairo_EPM_Stg_Web | Cairo_HPC_Team_130 | Cairo_Office365_VM_123 | Cairo_R&D_Team_126 | network-10.53.106.0/24 | network-10.53.112.0/24 | network-10.53.135.0/24 | network-10.53.41.0/24,service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service,10123tcp | 1024-65535 | 2701 | 2701-2702 | 2702 | 389/TCP | 445 | 49152-65535-tcp | 63000-64000 | 8530-8531 | DHCP | Discard Protocol (UDP) | DNS (UDP) | HTTP | HTTPS | LDAPS (TCP) | LDAPS (UDP) | Microsoft Global Catalog LDAP (TCP) | Microsoft Global Catalog LDAPS (TCP) | MSRPC (TCP) | NetBIOS Datagram | NetBIOS-NS (UDP) | Remote Desktop | SMB-TCP | TCP_139 | udp_service_135,413 | 414 | 330 | 332 | 348 | 458 | 12038 | 12040 | 280 | 420 | 422 | 281,,,,,,,
network_element | network_element | network_element | network_element | network_element,10.53.135.252-10.53.135.253 | AD1 | AD2 | dns1 | DNS2,network_element | network_element,10.53.101.60 | host-10.53.102.60,service | service | service,DNS | DNS (TCP with SafeSearch) | DNS (UDP),444 | 12069 | 414,,,,,,,
network_element | network_element,10.53.125.0/24 | 10.54.125.0/24,network_element | network_element | network_element,10.53.102.60-69  | host-10.53.102.60 | host-10.53.102.69,service,8080,,,,,,,,
network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.54.125.0 | 10.54.135.0/24 | 10.54.200.0/24 | AIC Operations | AIC SWD | AIC-CAI-IT | Alexandria_R&D_Team_126    | Alexandria_Software_129 | Cairo_EPM_Prd_DB | Cairo_EPM_Stg_Web | Cairo_HPC_Team_130 | Cairo_Office365_VM_123 | Cairo_R&D_Team_126 | network-10.53.106.0/24 | network-10.53.112.0/24 | network-10.53.135.0/24 | network-10.53.41.0/24,network_element,SCCM Server,service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service,10123tcp | 1024-65535 | 2701 | 2701-2702 | 2702 | 389/TCP | 49152-65535-tcp | 63000-64000 | 8530-8531 | DHCP | Discard Protocol (UDP) | DNS (UDP) | HTTP | HTTPS | LDAPS (TCP) | LDAPS (UDP) | Microsoft Global Catalog LDAP (TCP) | Microsoft Global Catalog LDAPS (TCP) | MSRPC (TCP) | NetBIOS Datagram | NetBIOS-NS (UDP) | Remote Desktop | SMB-TCP | TCP_139 | udp_service_135,413 | 414 | 330 | 332 | 348 | 458 | 12038 | 12040 | 280 | 420 | 422 | 281,,,,,,,
network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.106.234 | host-10.53.106.235,network_element,10.53.101.60-79,service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service | service,111 | 137 | 137_TCP | 138 | 445 | NetBIOS-NS (TCP) | NetBIOS-NS (UDP) | NetBIOS-SSN | NFS (TCP) | NFS (UDP) | SMB-TCP | Sun RPC (TCP) | Sun RPC (UDP) | TCP_139 | tcp_service_2049 | udp_service_111 | udp_service_2049,355 | 422 | 356 | 12046 | 423 | 382 | 437,,,,,,,
network_element,10.210.53.0/255.255.255.0,network_element | network_element | network_element,10.53.106.100 | 10.53.106.219 | 10.53.106.220,service,ANY,,,,,,,,
