match_source_ref.type,match_source_ref.value,match_source_ref.ref_key
network_element | network_element | network_element,10.53.130.0/24 | AIC Operations | AIC SWD,
network_element,ZTNA-AIC-INT,
network_element,network-10.53.118.0/24,
network_element | network_element,10.54.200.0/24 | AIC Operations,
network_element | network_element | network_element,AIC RProxy Network | network-10.53.117.0/24 | network-10.53.118.0/24,
network_element | network_element,network-10.53.117.0/24 | network-10.53.118.0/24,
network_element,Docker Registry Server,
network_element,host-10.53.117.253,
network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | host-10.53.116.251 | host-10.53.116.252,
network_element | network_element,10.58.125.0./24 | network-10.53.125.0/24,
network_element,Alexandria_Software_129,
network_element | network_element,10.58.125.0./24 | network-10.53.125.0/24,
network_element | network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | AIC SWD | Cairo_R&D_Team_126- | network-10.53.118.0/24,
network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | Alexandria_R&D_Team_126   ,
network_element | network_element | network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | AIC SWD | Alexandria_Software_129 | Cairo_R&D_Team_126- | network-10.53.118.0/24,
network_element,host-10.53.126.219,
network_element | network_element | network_element | network_element,10.58.125.0./24 | AIC SWD | Cairo_R&D_Team_126- | network-10.53.125.0/24,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element,Alexandria_IT_Admin_125,
network_element,Alexandria_IT_Admin_125,
network_element | network_element | network_element,Alexandria_IT_Admin_125 | Alexandria_R&D_Team_126    | network-10.54.129.0/24,
network_element | network_element,Alexandria_R&D_Team_126    | network-10.54.129.0/24,
network_element,Alexandria_R&D_Team_126   ,
network_element,10.53.130.0/24,
network_element,Mail_Relay ,
network_element,Mail_Relay ,
network_element,vCenter Virtualization Manager,
network_element,10.53.105.252,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element,network-10.53.125.0/24,
network_element | network_element | network_element | network_element | network_element,10.53.106.242 | 10.53.106.250 | Explatory VM | host-10.53.106.234 | host-10.53.106.235,
network_element | network_element | network_element | network_element | network_element | network_element,10.58.126.0/24 | 10.58.129.0/24 | 10.58.130.0 | 10.58.200.0 | AIC SWD | Cairo_R&D_Team_126-,
network_element,Cairo_HPC_Team_130,
network_element,host-10.53.135.100,
network_element | network_element | network_element | network_element,AD1 | AD2 | dns1 | dns2,
network_element | network_element,10.53.222.2 | 10.53.222.22,
network_element | network_element | network_element,NGINX Reverse Proxy VM 2 | NGINX Reverse Proxy VM Zitadel | NGINX-Reverse-Proxy-VM 1,
network_element | network_element | network_element,Alex-BMC | Alex-Kubernetes | Alex_VM_Internal,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,Alex-Kubernetes,
network_element,AIC-Pool,
network_element,host-10.53.106.208,
network_element | network_element | network_element | network_element,AIC SWD | Alexandria_R&D_Team_126    | Alexandria_Software_129 | Cairo_R&D_Team_126-,
network_element | network_element,10.54.130.0 | Cairo_HPC_Team_130,
network_element,host-10.53.106.208,
network_element | network_element,AIC SWD | Alexandria_Software_129,
network_element,10.54.130.0,
network_element,10.53.120.0/24,
network_element | network_element | network_element | network_element | network_element | network_element,AI-lab | AIC Operations | AIC SWD | AIC-CAI-IT | AIC-Pool | Cairo_R&D_Team_126,
network_element | network_element | network_element | network_element | network_element | network_element,AI-lab | AIC Operations | AIC SWD | AIC-CAI-IT | AIC-Pool | Cairo_R&D_Team_126,
